Tema,Nombre,Personaje,Japones,Condición,Probabilidad,Sobrescribir si,Si_Dinero,Si_Gente,Si_Flora,Si_Fauna,Si_Aire,Extras_Si,Sobrescribe No,No_Dinero,No_Gente,No_Flora,No_Fauna,No_Aire,Extras_No,Explicacion Japones
Agricultura,¡Vivan los pesticidadas!,Faustino el agricultor,[農民: のうみん] たちは、 [農薬: のうやく] の [使用: しよう] には もっと [資金: しきん] が [必要: ひつよう] だと [考: かんが] えています。 あなたは どう [思: おも] いますか？,Evento fijo,50,,10,5,-10,-5,-5,,,-5,-5,,,10,,[農薬:のうやく]は[水漏:みずも]れや[人々:ひとびと]の[健康:けんこう]に[恐:おそ]ろしい[影響:えいきょう]を[与:あた]えます。
Agricultura,Necesidad de agua,Faustino el agricultor,このままでは [収穫: しゅうかく] が [枯: か]れてしまいます。[地下水: ちかすい] を [利用: りよう] する [必要: ひつよう] があります。,Evento fijo,50,,20,-5,-15,-15,-20,,,-5,10,,,,ficha sequia,[帯水層:たいすいそう]の[迂回:うかい]はその[地域:ちいき]に[干:かん]ばつを[引:ひ]き[起:お]こす[可能性:かのうせい]があります。
Agricultura,Riego por goteo,Paqui Jefa de Medio Ambiente,すべての[水: みず] を [活用: かつよう] するために、[点滴灌漑: てんてきかんがい] を [導入: どうにゅう] したいと [考: かんが]えていますが、[非常: ひじょう]に [高額: こうがく] です。,ficha sequia,,,-15,5,10,,,,,,,-10,,,,[可能:かのう]な[限:かぎ]りすべての[水:みず]を[使用:しよう]するタイプの[灌漑:かんがい]です。
Agricultura,Nuevas tierras,Faustino el agricultor,[以前: いぜん] の [土地: とち] は [農薬: のうやく] の [影響: えいきょう] で [過度: かど] に [有害: ゆうがい] で、[新: あたら]しい [土地: とち] が [必要: ひつよう] です。,ficha pesticidas,,Venga vale,-15,,-5,,-5,,Jamas,,-10,,,,,[農薬:のうやく]を[過剰:かじょう]に[使用:しよう]すると、[人間:にんげん]だけでなく[土壌:どじょう]にも[中毒:ちゅうどく]を[引:ひ]き[起:お]こす[可能性:かのうせい]があります。
Agricultura y Ganaderia,Plaga de conejos,Eli agente forestal,[ウサギ: うさぎ] が [多: おお]すぎる、[作物: さくもつ] を [荒: あ]らしてしまう、どうすればいいでしょうか？,,,Acabad con los conejos,,,,-25,,,No exagereis solo son animales,,,-25,,,,[害虫:がいちゅう]は[限定的:げんていてき]な[場合:ばあい]もあれば、[通:とお]り[道:みち]にあるすべてのものを[破壊:はかい]する[場合:ばあい]もあります。
Deforestacion,Limpieza de montes,Eli agente forestal,[火災: かさい] の [可能性: かのうせい] を [防: ふせ]ぐために[山: やま]を [伐採: ばっさい]しなければなりません。,Evento fijo,50,,-10,10,,,5,,,,,-5,,,,[火災:かさい]が[増加:ぞうか]しないように[森林伐採:しんりんばっさい]が[必要:ひつよう]な[場合:ばあい]もあります。 [木:き]は[動物:どうぶつ]ときれいな[空気:くうき]に[必要:ひつよう]です。
Deforestacion,No al maltrato de los bosques,Toni el activista,[森林破壊: しんりんはかい] にノー、[松かさ: まつかさ] や [自然要素: しぜんようそ] の [盗用: とうよう] をやめてください。,Evento fijo,50,,15,,-5,,,,,,-10,,,,,[何:なに]もしないのが[一番:いちばん]だと[思:おも]っていても、[人:ひと]の[手:て]が[役:やく]に[立:た]つこともあります。
Deforestacion,Cambio climático,Rodrigo el Biologo,[気候変動: きこうへんどう] は[大惨事: だいさんじ]を[引: ひ]き[起: お]こしており、[私:わたし]たちは[新: あたら]しい[気候:きこう]に[耐: た]えられる[木: き]を[植: う]えるべきです。,,,,-15,,15,,,,,,,-10,,,,[気候変動:きこうへんどう]は[大惨事:だいさんじ]を[引:ひ]き[起:お]こしており、[特定:とくさだ]の[場所:ばしょ]では[木:き]が[存続:そんぞく]できなくなり、[気候:きこう]に[耐性:たいせい]のある[新:あたら]しい[種:たね]で[森林:しんりん]を[再植:さいうえ]する[必要:ひつよう]があります。
Energia eolica,Viva el aire ,Paqui Jefa de Medio Ambiente,[この地域: このちいき] にエネルギー[生成用:せいせいよう]の[風力: ふうりょく]タービンをいくつか[設置:せっち]するのは[面白:おもしろ]いかもしれないと[思: おも]います。,Evento fijo,50,,15,5,-5,-10,,ficha eolica,,,-10,5,5,,,クリーンなエネルギー[源:げん]ですが、それにかかる[費用:ひよう]と[死:し]ぬ[鳥:とり]の[数:かず]を[考:かんが]えると[十分:じゅうぶん]なのでしょうか?
Energia eolica,Molinillos,Rodrigo el Biologo,[人々: ひとびと] は[風車: ふうしゃ]の[設置:せっち]を[望:のぞ]んでいます。[種: たね]の[保存: ほぞん]にとっては[良:よ]くないと[思: おも]います。,Evento fijo,50,Tienes razon pasamos de los molinos,,-10,5,5,,,Vamos a probar,15,5,-5,-10,,ficha eolica,クリーンなエネルギー[源:げん]ですが、それにかかる[費用:ひよう]と[死:し]ぬ[鳥:とり]の[数:かず]を[考:かんが]えると[十分:じゅうぶん]なのでしょうか?
